Name,Gender,LastLetter,LastTwoLetter,FirstLetter
Suvarnmala,2,a,la,S
Kunjal,2,l,al,K
Taj,1,j,aj,T
Deeptimoyee,2,e,ee,D
Harkrishna,1,a,na,H
Grahish,1,h,sh,G
Sadaiappan,1,n,an,S
Navita,2,a,ta,N
Matangi,2,i,gi,M
Sameen,1,n,en,S
"Aseem, Ashim",1,m,im,A
Ishya,2,a,ya,I
Khyath,2,h,th,K
Vishnu,1,u,nu,V
Anjalika,2,a,ka,A
Yashodhara,1,a,ra,Y
Lata,2,a,ta,L
Neha,2,a,ha,N
Rasik,1,k,ik,R
Gurmeet,1,t,et,G
Kalipada,1,a,da,K
Venu,1,u,nu,V
Dhatri,2,i,ri,D
Nabhanyu,1,u,yu,N
Abhimanyusuta,1,a,ta,A
Naamagal,2,l,al,N
Megha,2,a,ha,M
Talleen,1,n,en,T
Pallavini,2,i,ni,P
Omar,1,r,ar,O
Vidhi,2,i,hi,V
Rochan,1,n,an,R
Arshad,1,d,ad,A
Samarth,1,h,th,S
Atmaja,2,a,ja,A
Aesha,2,a,ha,A
Mithun,1,n,un,M
Ekavali,2,i,li,E
Brijmohan,1,n,an,B
Deepa,2,a,pa,D
Mannith,1,h,th,M
Deepti,2,i,ti,D
Aapti,2,i,ti,A
Kusumakar,1,r,ar,K
Vengai,1,i,ai,V
Lipika,2,a,ka,L
Hashmat,1,t,at,H
Yash,1,h,sh,Y
Naishada,2,a,da,N
Oni,1,i,ni,O
Meru,1,u,ru,M
Ilamparidhi,1,i,hi,I
Japendra,1,a,ra,J
Lakshmibanta,1,a,ta,L
Vinay,1,y,ay,V
Jalad,1,d,ad,J
Upamanyu,1,u,yu,U
Bansari,2,i,ri,B
Gira,2,a,ra,G
Rani,2,i,ni,R
Gandhi,1,i,hi,G
Viral,1,l,al,V
Rabia,2,a,ia,R
Swarupa,2,a,pa,S
Udipti,2,i,ti,U
Raveena,2,a,na,R
Devendra,1,a,ra,D
Vilok,1,k,ok,V
Ila,2,a,la,I
Chandratara,2,a,ra,C
Mahanidhi,1,i,hi,M
Nischith,1,h,th,N
Kalicharan,1,n,an,K
Tarachand,1,d,nd,T
Chandanika,2,a,ka,C
Khazana,1,a,na,K
Kathith,1,h,th,K
Ilaiyavan,1,n,an,I
Avkash,1,h,sh,A
Katran,1,n,an,K
Nishita,1,a,ta,N
Khadim,1,m,im,K
Nabha,2,a,ha,N
Anay,1,y,ay,A
Ratnavali,2,i,li,R
Adi-Shakti,2,i,ti,A
Srujana,2,a,na,S
Pushpita,2,a,ta,P
Raghu,1,u,hu,R
Niral,2,l,al,N
Kirtana,2,a,na,K
Samrithi,2,i,hi,S
Yashwant,1,t,nt,Y
Gadin,1,n,in,G
Surama,2,a,ma,S
Mahmud,1,d,ud,M
Nami,2,i,mi,N
Saunak,1,k,ak,S
Rahas,1,s,as,R
Pranit,1,t,it,P
Acaryatanaya,1,a,ya,A
Aamaal,2,l,al,A
Nityananda,1,a,da,N
Baridbaran,1,n,an,B
Yuktha,2,a,ha,Y
Waheeda,2,a,da,W
Rutva,1,a,va,R
Bindumathi,2,i,hi,B
Vritti,2,i,ti,V
Chandrachur,1,r,ur,C
Acarya,1,a,ya,A
Angarika,2,a,ka,A
Snehin,1,n,in,S
Bratindra,1,a,ra,B
Ayushman,1,n,an,A
Imtiaz,1,z,az,I
Sanchita,2,a,ta,S
Aahna,2,a,na,A
Yajna,2,a,na,Y
Chinnadurai,1,i,ai,C
Neelmani,1,i,ni,N
Hemendra,1,a,ra,H
Salma,2,a,ma,S
Mrudani,2,i,ni,M
Chandrabali,2,i,li,C
Raheem,1,m,em,R
Avanindra,1,a,ra,A
Pashupriya,2,a,ya,P
Chitrabhanu,1,u,nu,C
Neelakshi,2,i,hi,N
Gurdeep,1,p,ep,G
Sadhana,2,a,na,S
Yogita,2,a,ta,Y
Meena,2,a,na,M
Bhargavi,2,i,vi,B
Darpan,1,n,an,D
Bhagwanti,2,i,ti,B
Manavendra,1,a,ra,M
Adwita,2,a,ta,A
Subhan,1,n,an,S
Zahra,2,a,ra,Z
Sucheta,2,a,ta,S
Videsh,1,h,sh,V
Gangesh,1,h,sh,G
Deepika,2,a,ka,D
Mehul,1,l,ul,M
Devnath,1,h,th,D
Mukul,2,l,ul,M
Aashay,1,y,ay,A
Koyel,2,l,el,K
Anil,1,l,il,A
Kashyap,1,p,ap,K
Harsha Vardhini,2,i,ni,H
Tarik,1,k,ik,T
Megha,1,a,ha,M
Sachit,1,t,it,S
Bhadrang,1,g,ng,B
Ashok,1,k,ok,A
Tilaka,2,a,ka,T
Somansh,1,h,sh,S
Ritvik,1,k,ik,R
Divyendu,1,u,du,D
Chaaruhaas,1,s,as,C
Huda,1,a,da,H
Cholan,1,n,an,C
Ninad,1,d,ad,N
Brahamjeet,1,t,et,B
Chakor,1,r,or,C
Mrinmayi,2,i,yi,M
Shachin,1,n,in,S
Banani,2,i,ni,B
Naviya,2,a,ya,N
Zaafira,2,a,ra,Z
Madhav,1,v,av,M
Dwijaraj,1,j,aj,D
Vagdevi,2,i,vi,V
Sabita,2,a,ta,S
Ishi,2,i,hi,I
Ilamporai,1,i,ai,I
Ayushi,2,i,hi,A
Sundari,2,i,ri,S
Manjyot,2,t,ot,M
Lakhi,2,i,hi,L
Phenil,1,l,il,P
Prachi,2,i,hi,P
Mohul,1,l,ul,M
Poornakamala,2,a,la,P
Sukhamay,1,y,ay,S
Arokya,1,a,ya,A
Siddharth,1,h,th,S
Chiti,2,i,ti,C
Hrithik,1,k,ik,H
Sundha,2,a,ha,S
Pinakini,2,i,ni,P
Shevantilal,1,l,al,S
Fanishwar,1,r,ar,F
Oma,1,a,ma,O
Oparna,2,a,na,O
Ilakkiya,2,a,ya,I
Kaunteya,1,a,ya,K
Shankha,1,a,ha,S
Gopa,2,a,pa,G
Kavan,1,n,an,K
Vilas,1,s,as,V
Rajanya,1,a,ya,R
Zakiy,1,y,iy,Z
Kaaliya,1,a,ya,K
Garima,2,a,ma,G
Tapasendra,1,a,ra,T
Shambhavi,2,i,vi,S
Milind,1,d,nd,M
Sadiqua,2,a,ua,S
Mandith,1,h,th,M
Devamati,2,i,ti,D
Harjeet,1,t,et,H
Pavitra,1,a,ra,P
Utkarsha,1,a,ha,U
Ghalib,1,b,ib,G
Inayat,2,t,at,I
Namita,2,a,ta,N
Manonith,1,h,th,M
Abhiraj,1,j,aj,A
Hariganga,2,a,ga,H
Manjira,2,a,ra,M
Mudrika,2,a,ka,M
Parashar,1,r,ar,P
Arav,1,v,av,A
Harshitha,2,a,ha,H
Nalini,2,i,ni,N
Odathi,2,i,hi,O
Soumya,2,a,ya,S
Sunayana,2,a,na,S
Jagadishwara,1,a,ra,J
Rishika,2,a,ka,R
Geena,2,a,na,G
Esha,2,a,ha,E
Quamar,1,r,ar,Q
Apsara,2,a,ra,A
Sarada,2,a,da,S
Chaitali,2,i,li,C
Rasul,1,l,ul,R
Bahumanya,1,a,ya,B
Haresh,1,h,sh,H
Kiranmay,1,y,ay,K
Sevati,2,i,ti,S
Jehannaz,2,z,az,J
Achintya,1,a,ya,A
Vrajakishore,1,e,re,V
Manjulika,2,a,ka,M
Harikanth,1,h,th,H
Narayani,2,i,ni,N
Parantapa,1,a,pa,P
Purva,2,a,va,P
Brahmabrata,1,a,ta,B
Shailendra,1,a,ra,S
Suhrita,2,a,ta,S
Shilpa,2,a,pa,S
Manjushri,2,i,ri,M
Ashis,2,s,is,A
Keshav,1,v,av,K
Renuka,2,a,ka,R
Shama,2,a,ma,S
Shariq,1,q,iq,S
Padmakshi,2,i,hi,P
Abdul-Haseeb,1,b,eb,A
Ramanuja,1,a,ja,R
Mandeep,1,p,ep,M
Mohini,2,i,ni,M
Indumukhi,2,i,hi,I
Urmi,2,i,mi,U
Faatina,2,a,na,F
Snehalata,2,a,ta,S
Haritbaran,1,n,an,H
Sheetal,1,l,al,S
Kanishka,1,a,ka,K
Wamika,2,a,ka,W
Pransukh,1,h,kh,P
Chaaruchandra,1,a,ra,C
Priyasha,2,a,ha,P
Vrajamohan,1,n,an,V
Pranauthi,2,i,hi,P
Meghnad,1,d,ad,M
Izhar,1,r,ar,I
Nabhas,1,s,as,N
Mohajit,1,t,it,M
Sarasi,2,i,si,S
Ashwini,2,i,ni,A
Umika,2,a,ka,U
Dhanajit,1,t,it,D
Sudhanshu,1,u,hu,S
Sourish,1,h,sh,S
Sukumar,1,r,ar,S
Vihaan,1,n,an,V
Radhana,2,a,na,R
"Simran, Smaram",2,m,am,S
Hansa,2,a,sa,H
Utpala,2,a,la,U
Kiran,1,n,an,K
Naathim,1,m,im,N
Abhinava,1,a,va,A
Shagufta,2,a,ta,S
Dhanraj,1,j,aj,D
Jaafar,1,r,ar,J
Vatsa,1,a,sa,V
Yamajith,1,h,th,Y
Manaal,1,l,al,M
Prabhada,2,a,da,P
Paavai,2,i,ai,P
Lokranjan,1,n,an,L
