Name,Gender,LastLetter,LastTwoLetter,FirstLetter
Kakoli,2,i,li,K
Lakshita,2,a,ta,L
Cole,1,e,le,C
Olikodi,2,i,di,O
Radhak,1,k,ak,R
Dulari,2,i,ri,D
Subal,1,l,al,S
Uddhar,1,r,ar,U
Vaagai,2,i,ai,V
Upendra,1,a,ra,U
Dilshad,2,d,ad,D
Raghuvir,1,r,ir,R
Ardhendu,1,u,du,A
Binal,2,l,al,B
Gaganjyot,1,t,ot,G
Mallika,2,a,ka,M
Trinayani,2,i,ni,T
Sharmila,2,a,la,S
Padmapati,1,i,ti,P
Ganaka,1,a,ka,G
Bhairavi,2,i,vi,B
Samiran,1,n,an,S
Sikta,2,a,ta,S
Chirtrang,1,g,ng,C
Dhananjay,1,y,ay,D
Rupashri,2,i,ri,R
Ishayu,1,u,yu,I
Sushila,2,a,la,S
Chamanlal,1,l,al,C
Mahir,1,r,ir,M
Bakul,2,l,ul,B
Somdev,1,v,ev,S
Uddhav,1,v,av,U
Indukala,2,a,la,I
Indratan,1,n,an,I
Swagata,2,a,ta,S
Qaisar,1,r,ar,Q
Indrani,2,i,ni,I
Dharmpal,1,l,al,D
Fareed,1,d,ed,F
Bhakti,2,i,ti,B
Tanushri,2,i,ri,T
Nagina,2,a,na,N
Ish,1,h,sh,I
Senthamarai,1,i,ai,S
Samantha,1,a,ha,S
Omisha,2,a,ha,O
VeeraSundari,2,i,ri,V
Sanjana,2,a,na,S
Guruprasad,1,d,ad,G
Rajivini,2,i,ni,R
Rajasi,2,i,si,R
Eshwar,1,r,ar,E
Gathika,2,a,ka,G
Yadva,2,a,va,Y
Suryabhan,1,n,an,S
Gajrup,1,p,up,G
Peeyush,1,h,sh,P
Inika,2,a,ka,I
"Bela, Beli",2,i,li,B
Praver,1,r,er,P
Chaitra,2,a,ra,C
Nishtha,2,a,ha,N
Devarya,1,a,ya,D
Prasad,1,d,ad,P
Chidananda,1,a,da,C
Salena,2,a,na,S
Sujash,1,h,sh,S
Manjusha,2,a,ha,M
Chandrabhaga,2,a,ga,C
Mainak,1,k,ak,M
Salarjung,1,g,ng,S
Arivoli,1,i,li,A
Geeti,2,i,ti,G
Shobhana,2,a,na,S
Hiranmayi,2,i,yi,H
Mahamaya,2,a,ya,M
Shrijani,2,i,ni,S
Dhinakar,1,r,ar,D
Chanakya,1,a,ya,C
Kumkum,2,m,um,K
Shibani,2,i,ni,S
Fazeela,2,a,la,F
Sayed,1,d,ed,S
Deepabali,2,i,li,D
Mridula,2,a,la,M
Sanjay,1,y,ay,S
Debashish,1,h,sh,D
Neeraf,1,f,af,N
Yadunath,1,h,th,Y
Jograj,1,j,aj,J
Aadita,2,a,ta,A
Ipsita,2,a,ta,I
Kesari,2,i,ri,K
Sambhddha,1,a,ha,S
Granthik,1,k,ik,G
Manoranjan,1,n,an,M
Ruhin,2,n,in,R
"Vaishavi, Vaishnodevi",2,i,vi,V
Mukunda,1,a,da,M
Ayaan,1,n,an,A
Medha,2,a,ha,M
Baasim,1,m,im,B
Sabal,1,l,al,S
Faakhir,1,r,ir,F
Lucia,2,a,ia,L
Jaikrishna,1,a,na,J
Tajdar,1,r,ar,T
Dayakara,1,a,ra,D
Banamala,2,a,la,B
Poorna,2,a,na,P
Aashinya,2,a,ya,A
Akhila,2,a,la,A
Neelambar,1,r,ar,N
Anya,2,a,ya,A
Nandin,1,n,in,N
Bahiy Udeen,1,n,en,B
Elango,1,o,go,E
Anindita,2,a,ta,A
Hina,2,a,na,H
Aakriti,2,i,ti,A
Vidur,1,r,ur,V
Sibani,2,i,ni,S
Omkari,2,i,ri,O
Nuzha,2,a,ha,N
Jayaprabha,2,a,ha,J
Ilavenil,1,l,il,I
Dheer,1,r,er,D
Rithul,1,l,ul,R
Malika,2,a,ka,M
Vaachaspati,1,i,ti,V
Suranjan,1,n,an,S
Nila,2,a,la,N
Bhuvanesh,1,h,sh,B
Pritam,1,m,am,P
Shrimati,2,i,ti,S
Pia,2,a,ia,P
Savitendra,1,a,ra,S
Madhusudan,1,n,an,M
Raghupati,1,i,ti,R
Shobhita,2,a,ta,S
Atasi,2,i,si,A
Kalinga,1,a,ga,K
Udgita,2,a,ta,U
Raghunath,1,h,th,R
Akshaya,2,a,ya,A
Mandin,1,n,in,M
Oppilmani,1,i,ni,O
Dev Kumar,1,r,ar,D
Aslesh,1,h,sh,A
Mihir,1,r,ir,M
Navaneeta,2,a,ta,N
Pulakesh,1,h,sh,P
Shweta,2,a,ta,S
Pranjivan,1,n,an,P
Vaidehi,2,i,hi,V
Rakshan,1,n,an,R
Aadesh,1,h,sh,A
"Balvindra, Balvinder",1,r,er,B
Shambhu,1,u,hu,S
Ranita,2,a,ta,R
Abeer,1,r,er,A
Sudarshan,1,n,an,S
Prabhas,1,s,as,P
Kanaklata,2,a,ta,K
Ubika,2,a,ka,U
Mahitha,2,a,ha,M
Supratim,1,m,im,S
Agrima,2,a,ma,A
Vanajit,1,t,it,V
Syamantak,1,k,ak,S
Shaswati,2,i,ti,S
Anunay,1,y,ay,A
Atralarasu,1,u,su,A
Adhita,1,a,ta,A
Talib,1,b,ib,T
Pushpanjali,2,i,li,P
Vani,2,i,ni,V
Sambit,1,t,it,S
Anahita,2,a,ta,A
Shulka,2,a,ka,S
Nisha,2,a,ha,N
Qadir,1,r,ir,Q
Baisakhi,2,i,hi,B
Bhanavi,2,i,vi,B
Divena,2,a,na,D
Singaravelan,1,n,an,S
Diksha,2,a,ha,D
Abhinabhas,1,s,as,A
Tapas,1,s,as,T
Aditha,2,a,ha,A
Reema,2,a,ma,R
Nikhila,2,a,la,N
Asmita,2,a,ta,A
Mayuri,2,i,ri,M
Deepaprabha,2,a,ha,D
Sadgati,2,i,ti,S
Dwaaraka-nath,1,h,th,D
Virupaksa,1,a,sa,V
Asgar,1,r,ar,A
Shrilekha,2,a,ha,S
Sumitra,1,a,ra,S
Gitali,2,i,li,G
Henna,2,a,na,H
Harivansh,1,h,sh,H
Anjali,2,i,li,A
Kinshuk,1,k,uk,K
Sanchali,2,i,li,S
Manana,2,a,na,M
Aashalatha,2,a,ha,A
Ayesha,2,a,ha,A
Partha,1,a,ha,P
Ekaksha,1,a,ha,E
Nirijhar,1,r,ar,N
Sukanya,2,a,ya,S
Amara,2,a,ra,A
Ranajit,1,t,it,R
Triyama,2,a,ma,T
Harinarayan,1,n,an,H
Suhela,2,a,la,S
Arka,1,a,ka,A
Somansh,2,h,sh,S
Nabhith,1,h,th,N
Gunasundari,2,i,ri,G
Asgari,2,i,ri,A
Sunil,1,l,il,S
Poushali,2,i,li,P
Subhadra,2,a,ra,S
Riyaz,1,z,az,R
Alagarasu,1,u,su,A
Adarsha,2,a,ha,A
Anurati,2,i,ti,A
"Prakash, Parkash",1,h,sh,P
Namasyu,1,u,yu,N
Savita,2,a,ta,S
Chandika,2,a,ka,C
Kripal,1,l,al,K
Mithra,2,a,ra,M
Aaradhya,2,a,ya,A
"Amin, Ameen",1,n,en,A
Ambuj,1,j,uj,A
Pratima,2,a,ma,P
Gunjika,2,a,ka,G
Krishnachandra,1,a,ra,K
Kalika,2,a,ka,K
Nabhya,2,a,ya,N
Indrasena,2,a,na,I
Harshil,1,l,il,H
Suryashankar,1,r,ar,S
"Ananda, Anand",1,d,nd,A
Nakul,1,l,ul,N
Sanjan,1,n,an,S
Gajalakshmi,2,i,mi,G
Hiranmay,1,y,ay,H
Saniya,2,a,ya,S
Jyotibala,2,a,la,J
Priyabrata,1,a,ta,P
"Fatima, Fatma",2,a,ma,F
Jayapradha,2,a,ha,J
Azhagar,1,r,ar,A
Vaijayantimala,2,a,la,V
Bishr,1,r,hr,B
Kamukh,1,h,kh,K
Dharmadas,1,s,as,D
Gajananvihari,1,i,ri,G
Lakhan,1,n,an,L
Chandni,2,i,ni,C
Banita,2,a,ta,B
Samiksha,2,a,ha,S
Lavana,1,a,na,L
Chapala,2,a,la,C
Gunwant,1,t,nt,G
Abha,2,a,ha,A
Prakat,1,t,at,P
Bukka,1,a,ka,B
Padma,2,a,ma,P
Lahar,1,r,ar,L
Bindiya,2,a,ya,B
Champak,1,k,ak,C
Makul,1,l,ul,M
Elavarasan,1,n,an,E
Muthammal,2,l,al,M
Rahul,1,l,ul,R
Darpanika,2,a,ka,D
Kashinath,1,h,th,K
Selma,2,a,ma,S
Manoth,1,h,th,M
Arunima,2,a,ma,A
Dayanidhi,1,i,hi,D
Somendra,1,a,ra,S
Jayin,1,n,in,J
Nadal,1,l,al,N
Pradyot,1,t,ot,P
Inkurali,2,i,li,I
Ratnabala,2,a,la,R
Neepa,2,a,pa,N
Ekaaksha,1,a,ha,E
Nivrutti,1,i,ti,N
Swaha,2,a,ha,S
Kunjalata,2,a,ta,K
Jalil,1,l,il,J
Arnesh,1,h,sh,A
Sohana,2,a,na,S
Husaam,1,m,am,H
Sanatani,2,i,ni,S
Vedika,2,a,ka,V
Chaarudatt,1,t,tt,C
Pradnaya,2,a,ya,P
Tapasranjan,1,n,an,T
Tejaswi,2,i,wi,T
Trisha,2,a,ha,T
Gnanachelvi,2,i,vi,G
Fuad,1,d,ad,F
Tamalika,2,a,ka,T
Dhara,2,a,ra,D
Amiya,1,a,ya,A
Anal,1,l,al,A
Sagarika,2,a,ka,S
Harmendra,1,a,ra,H
Bakhtawar,2,r,ar,B
Hem,1,m,em,H
Tejas,1,s,as,T
Abhihita,1,a,ta,A
Bhooshan,1,n,an,B
Sahas,1,s,as,S
Nitika,2,a,ka,N
Haarith,1,h,th,H
Lakshman,1,n,an,L
Arivali,1,i,li,A
Varadaraja,1,a,ja,V
Vanaja,2,a,ja,V
Indrasena,1,a,na,I
Neeraj,1,j,aj,N
Manimala,2,a,la,M
Shubha,1,a,ha,S
Talish,1,h,sh,T
Shreemayi,2,i,yi,S
Ganda,2,a,da,G
Thangasami,1,i,mi,T
Siddheshwari,2,i,ri,S
Ketaki,2,i,ki,K
Prafulla,1,a,la,P
Taraka,2,a,ka,T
Fatik,1,k,ik,F
Vedanga,1,a,ga,V
Shipra,2,a,ra,S
Harshul,1,l,ul,H
Acintya,1,a,ya,A
Vinod,1,d,od,V
Sohil,1,l,il,S
Almas,2,s,as,A
Govinda,1,a,da,G
Ratnajyoti,2,i,ti,R
Jaisal,1,l,al,J
Maadhav,1,v,av,M
Vipin,1,n,in,V
Yatee,2,e,ee,Y
"Aseema, Ashima",2,a,ma,A
Charitra,2,a,ra,C
Nirmanyu,1,u,yu,N
Eshika,2,a,ka,E
Parag,1,g,ag,P
Yatin,1,n,in,Y
Yamha,1,a,ha,Y
Mahima,2,a,ma,M
Aarna,2,a,na,A
Manikandan,1,n,an,M
Kaushalya,2,a,ya,K
Harithi,2,i,hi,H
Eiravathi,2,i,hi,E
Bansuri,2,i,ri,B
Manu,1,u,nu,M
Darshini,2,i,ni,D
Arnav,1,v,av,A
Girish,1,h,sh,G
Suryakanta,1,a,ta,S
Keshini,2,i,ni,K
Ranjit,1,t,it,R
Chidambaram,1,m,am,C
Ahmad,1,d,ad,A
Shripati,1,i,ti,S
Amol,1,l,ol,A
Kshipra,2,a,ra,K
Adhipa,1,a,pa,A
Kamal,1,l,al,K
Nishkama,1,a,ma,N
Divakar,1,r,ar,D
Aadrika,2,a,ka,A
Param,1,m,am,P
Baladhitya,1,a,ya,B
Rutesh,1,h,sh,R
Ratul,1,l,ul,R
Sadguna,2,a,na,S
Pakshi,2,i,hi,P
Kirtikumar,1,r,ar,K
Sanat,1,t,at,S
Oja,2,a,ja,O
Akalpa,1,a,pa,A
Dhithi,2,i,hi,D
Pritha,2,a,ha,P
Sushanta,1,a,ta,S
Sridatta,1,a,ta,S
Hemanya,2,a,ya,H
Parul,2,l,ul,P
Ananmaya,1,a,ya,A
Eshanika,2,a,ka,E
Prema,2,a,ma,P
Vikramaditya,1,a,ya,V
Sarvanavel,1,l,el,S
Vasu,1,u,su,V
Nilambari,2,i,ri,N
Jayachand,1,d,nd,J
Kalya,1,a,ya,K
Souren,1,n,en,S
Galav,1,v,av,G
Devalatha,2,a,ha,D
Maanika,2,a,ka,M
Trilochan,1,n,an,T
Yadavesvara,1,a,ra,Y
Budhil,1,l,il,B
Oha,1,a,ha,O
Sajal,1,l,al,S
Rakhi,2,i,hi,R
Namit,1,t,it,N
Vrajanadan,1,n,an,V
Naabhi,1,i,hi,N
Chameli,2,i,li,C
Anisha,2,a,ha,A
Lakshmi,2,i,mi,L
Rasaraj,1,j,aj,R
Rohin,2,n,in,R
Akanksha,2,a,ha,A
Jyotishmati,2,i,ti,J
Jaswant,1,t,nt,J
Malashree,2,e,ee,M
Hriday,1,y,ay,H
"Kanak, Kanaka",2,a,ka,K
Palashkusum,1,m,um,P
Urmimala,2,a,la,U
Zara,2,a,ra,Z
Namrah,2,h,ah,N
Pathik,1,k,ik,P
Ilavenil,2,l,il,I
Arundhathi,2,i,hi,A
Nahusha,1,a,ha,N
Chinmay,1,y,ay,C
Sugouri,2,i,ri,S
Raaka,2,a,ka,R
Aandaleeb,1,b,eb,A
Keertana,2,a,na,K
Emaan,1,n,an,E
Avanti,2,i,ti,A
Dharitri,2,i,ri,D
Bhoomi,2,i,mi,B
Devarpana,1,a,na,D
Atmananda,1,a,da,A
Mandakranta,2,a,ta,M
Anuha,1,a,ha,A
Nileen,2,n,en,N
Gandhara,2,a,ra,G
Kusumita,2,a,ta,K
Abhisri,2,i,ri,A
Anupam,1,m,am,A
Panya,2,a,ya,P
Prarthana,2,a,na,P
Shubhada,2,a,da,S
Jayashekhar,1,r,ar,J
Chandan,1,n,an,C
Ratannabha,1,a,ha,R
Rameshwar,1,r,ar,R
Radhatanaya,1,a,ya,R
Ranya,2,a,ya,R
Arundhati,2,i,ti,A
Asha,2,a,ha,A
Kshiraja,2,a,ja,K
Balanath,1,h,th,B
Jugnu,1,u,nu,J
Kshipva,2,a,va,K
Maitri,2,i,ri,M
Tatya,1,a,ya,T
Sushobhana,2,a,na,S
Madhuvanthi,2,i,hi,M
Shaukat,1,t,at,S
Indiya,2,a,ya,I
Nayath,1,h,th,N
Siddhanta,1,a,ta,S
Shravasti,2,i,ti,S
Tarana,2,a,na,T
Parijat,1,t,at,P
Jenya,2,a,ya,J
Kalith,1,h,th,K
Madhunisha,2,a,ha,M
Idhitri,2,i,ri,I
Himagouri,2,i,ri,H
Nishad,1,d,ad,N
Bimala,2,a,la,B
Naavarasi,2,i,si,N
Nivedita,2,a,ta,N
Ekanpreet,1,t,et,E
Vasistha,1,a,ha,V
Sachetan,1,n,an,S
Maheshwar,1,r,ar,M
Venkatesha,1,a,ha,V
Ishwarya,2,a,ya,I
Suchi,2,i,hi,S
Umesh,1,h,sh,U
Adarsh,1,h,sh,A
Abhibhava,1,a,va,A
Mahagauri,2,i,ri,M
Natun,2,n,un,N
Nandana,2,a,na,N
Udbala,2,a,la,U
Inas,2,s,as,I
Hansanandini,2,i,ni,H
Saanjh,1,h,jh,S
Hafiz,1,z,iz,H
Dhipin,1,n,in,D
Mahabalesvara,1,a,ra,M
Aksithi,2,i,hi,A
Urvi,2,i,vi,U
Kalimohan,1,n,an,K
Abhiraam,1,m,am,A
Shubhangi,2,i,gi,S
Saudamini,2,i,ni,S
Charan,1,n,an,C
Jwala,2,a,la,J
Serena,2,a,na,S
Manmatha,1,a,ha,M
Hemanga,1,a,ga,H
Padmavasa,2,a,sa,P
Kamala,2,a,la,K
Usha,2,a,ha,U
Priyadarshini,2,i,ni,P
Ratnabali,2,i,li,R
Iksha,2,a,ha,I
Firaki,2,i,ki,F
Kishori,2,i,ri,K
Nanda,1,a,da,N
Ananya,2,a,ya,A
Jeevanlata,2,a,ta,J
Prita,2,a,ta,P
Manideepa,2,a,pa,M
Pirmohammed,1,d,ed,P
Pallavi,2,i,vi,P
Amartya,1,a,ya,A
Fateh,1,h,eh,F
Deepanwita,2,a,ta,D
Mahesh,1,h,sh,M
Nartan,2,n,an,N
Nandi,1,i,di,N
Reshmi,2,i,mi,R
Yashawini,2,i,ni,Y
Deepakala,2,a,la,D
"Vithala, Vitthal",1,l,al,V
Ganjan,2,n,an,G
Padnuni,2,i,ni,P
Pradyun,1,n,un,P
Marudham,2,m,am,M
Eha,1,a,ha,E
Ikshana,2,a,na,I
Zahira,2,a,ra,Z
Unmaivilambi,1,i,bi,U
"Foolan, Phoolan",2,n,an,F
Burhaan,1,n,an,B
Adwitiya,2,a,ya,A
Sunirmal,1,l,al,S
Suparna,2,a,na,S
Anu,1,u,nu,A
"Anantha, Anantya",2,a,ya,A
Jainarayan,1,n,an,J
Palash,1,h,sh,P
Yagna,1,a,na,Y
Kashif,1,f,if,K
Kshema,2,a,ma,K
Samyak,1,k,ak,S
Mandir,1,r,ir,M
Sohni,2,i,ni,S
Yaalvendan,1,n,an,Y
Aryaman,1,n,an,A
Medhani,2,i,ni,M
Devak,2,k,ak,D
Zahin,1,n,in,Z
Wadee,1,e,ee,W
Raghav,1,v,av,R
Pulastya,1,a,ya,P
Lavitra,1,a,ra,L
Ettan,1,n,an,E
Induma,2,a,ma,I
Apeksha,2,a,ha,A
Imani,2,i,ni,I
Madhura,2,a,ra,M
Sudama,1,a,ma,S
Saatvik,1,k,ik,S
Barid,1,d,id,B
Chhandak,1,k,ak,C
Dasmaya,1,a,ya,D
Aslam,1,m,am,A
Nandi,2,i,di,N
Ruchitha,2,a,ha,R
Pranay,1,y,ay,P
Viswas,1,s,as,V
Hemakshi,2,i,hi,H
Taruni,2,i,ni,T
Mardav,1,v,av,M
Sourabhi,2,i,hi,S
Yogini,2,i,ni,Y
Pratul,1,l,ul,P
Ravindra,1,a,ra,R
Utsaah,2,h,ah,U
Smritiman,1,n,an,S
Vahini,2,i,ni,V
Dushyanta,1,a,ta,D
Zuha,2,a,ha,Z
Daivya,1,a,ya,D
"Vinoda, Vinodini",2,i,ni,V
Nabhya,1,a,ya,N
Manasa,2,a,sa,M
Ekanga,1,a,ga,E
Gangeya,1,a,ya,G
Rajika,2,a,ka,R
Dristi,2,i,ti,D
Bhamini,2,i,ni,B
Utpal,1,l,al,U
"Ananta, Anant",1,t,nt,A
Pival,2,l,al,P
Ujala,1,a,la,U
Pasha,2,a,ha,P
Magadh,1,h,dh,M
Sugata,1,a,ta,S
Talin,1,n,in,T
Nusrat,2,t,at,N
Indulal,1,l,al,I
Inesh,1,h,sh,I
Kavika,2,a,ka,K
Vismay,1,y,ay,V
Selvannmbi,1,i,bi,S
Chandran,1,n,an,C
Shashi,2,i,hi,S
Anandini,2,i,ni,A
Zaahid,1,d,id,Z
Nirali,2,i,li,N
Jivitesh,1,h,sh,J
Sampada,2,a,da,S
Avanish,1,h,sh,A
Darsh,1,h,sh,D
Chairavali,2,i,li,C
Balaram,1,m,am,B
Neelanjan,1,n,an,N
Taraprashad,1,d,ad,T
Mangalya,2,a,ya,M
Tapan,1,n,an,T
Navroz,1,z,oz,N
Rajdeep,1,p,ep,R
Labangalata,2,a,ta,L
Darpad,1,d,ad,D
Pragati,2,i,ti,P
Chandrima,2,a,ma,C
Sopan,1,n,an,S
Omkar,1,r,ar,O
"Amala, Amla",2,a,la,A
Ulagarasan,1,n,an,U
Bibhavasu,1,u,su,B
Syum,1,m,um,S
Balaraj,1,j,aj,B
Zulema,2,a,ma,Z
Nrip,1,p,ip,N
Adithi,2,i,hi,A
Malhar,1,r,ar,M
Abhisyanta,1,a,ta,A
Dheerendra,1,a,ra,D
Tirtha,1,a,ha,T
Urvashi,2,i,hi,U
Atanu,1,u,nu,A
Rajdulari,2,i,ri,R
Rukma,1,a,ma,R
Madana,1,a,na,M
Naija,2,a,ja,N
Chahana,2,a,na,C
Ishana,2,a,na,I
Rashmil,1,l,il,R
Avaapya,2,a,ya,A
Naganalatha,2,a,ha,N
Gavisht,1,t,ht,G
Oviyan,1,n,an,O
Rochak,1,k,ak,R
Kaashinaath,1,h,th,K
Yosana,2,a,na,Y
Tanu,2,u,nu,T
Suyash,1,h,sh,S
Yajna,1,a,na,Y
Sudip,1,p,ip,S
Aashna,2,a,na,A
Abheek,1,k,ek,A
Alagappan,1,n,an,A
Ekachandra,1,a,ra,E
Mulkraj,1,j,aj,M
Anbuchelvan,1,n,an,A
Dhevan,1,n,an,D
Ramya,2,a,ya,R
Gajra,2,a,ra,G
Ishanya,2,a,ya,I
"Anjushri, Anjushree",2,e,ee,A
Hirkani,2,i,ni,H
Ramashray,1,y,ay,R
Bulbuli,2,i,li,B
Adhikara,1,a,ra,A
Tamkinat,1,t,at,T
Sanyakta,2,a,ta,S
Murali,1,i,li,M
Mahanth,1,h,th,M
Oshma,2,a,ma,O
Lomash,1,h,sh,L
Nabhanipa,2,a,pa,N
Iman,1,n,an,I
Lopamudra,2,a,ra,L
Vetrival,1,l,al,V
sona,2,a,na,s
Acyutaraya,1,a,ya,A
Taraknath,1,h,th,T
Trikaya,2,a,ya,T
Lopa,2,a,pa,L
Ratish,1,h,sh,R
Ujas,2,s,as,U
Sudhira,2,a,ra,S
Chinthanaichelvan,1,n,an,C
Shantimay,1,y,ay,S
Tanveer,1,r,er,T
Ilavalagi,2,i,gi,I
Sesha,2,a,ha,S
Toral,2,l,al,T
Mandara,2,a,ra,M
"Amolik, Amolak",1,k,ak,A
Tilottama,2,a,ma,T
Haamid,1,d,id,H
Aditeya,1,a,ya,A
Saket,1,t,et,S
Etash,1,h,sh,E
Acalendra,1,a,ra,A
Malati,2,i,ti,M
Rajatshubhra,1,a,ra,R
Dinesh,1,h,sh,D
Udaya,2,a,ya,U
Paravasu,1,u,su,P
Angamuthu,1,u,hu,A
Chandramathi,2,i,hi,C
Himaja,2,a,ja,H
Ram,1,m,am,R
Jay,1,y,ay,J
Shakti,2,i,ti,S
Payoja,2,a,ja,P
Shikha,1,a,ha,S
Mahiya,2,a,ya,M
Velan,1,n,an,V
Omvati,2,i,ti,O
Shobhan,1,n,an,S
Prabhat,1,t,at,P
Shantanu,1,u,nu,S
Shyamlata,2,a,ta,S
Cauvery,2,y,ry,C
Trishul,1,l,ul,T
Ayurda,2,a,da,A
Gopi,1,i,pi,G
Ilandevan,1,n,an,I
Upagupta,1,a,ta,U
Sujaya,2,a,ya,S
Heman,1,n,an,H
Prem,2,m,em,P
Tribhuvan,1,n,an,T
Parimal,1,l,al,P
Rajak,1,k,ak,R
Varsha,2,a,ha,V
Pavaki,2,i,ki,P
Ishwar,1,r,ar,I
Sudhindra,1,a,ra,S
Samar,1,r,ar,S
Joshita,2,a,ta,J
Kamik,1,k,ik,K
Tarini,2,i,ni,T
Kalaka,2,a,ka,K
Akshan,1,n,an,A
Dhanashri,2,i,ri,D
Padmal,2,l,al,P
Jalendra,1,a,ra,J
Anunitha,2,a,ha,A
Alpana,2,a,na,A
Hariom,1,m,om,H
Chitrali,2,i,li,C
Harinakshi,2,i,hi,H
Arul,1,l,ul,A
Mayurika,2,a,ka,M
Rajitha,2,a,ha,R
Vinesh,1,h,sh,V
Karuna,2,a,na,K
Geshna,2,a,na,G
Soujanya,2,a,ya,S
Ekaraj,1,j,aj,E
Sumanolata,2,a,ta,S
Jalal,1,l,al,J
"Alam, Aalam",1,m,am,A
Anbumadi,1,i,di,A
Ajay,1,y,ay,A
Bindurekha,2,a,ha,B
Zuleyka,2,a,ka,Z
Fanibhusan,1,n,an,F
Dwijendra,1,a,ra,D
Javin,1,n,in,J
Rekha,2,a,ha,R
Ramana,1,a,na,R
Jayshri,2,i,ri,J
Prajit,1,t,it,P
Pradosh,1,h,sh,P
Shri,1,i,ri,S
Kimatra,2,a,ra,K
Kalaimagal,2,l,al,K
Anagha,2,a,ha,A
Hanumant,1,t,nt,H
Raya,2,a,ya,R
Daamodar,1,r,ar,D
Sahira,2,a,ra,S
Tarala,2,a,la,T
Sultana,2,a,na,S
Jaigupta,1,a,ta,J
Selvan,1,n,an,S
Sushobhan,1,n,an,S
Kaamil,1,l,il,K
Daya,2,a,ya,D
Aatmaja,2,a,ja,A
Kurinji,2,i,ji,K
Gurjari,2,i,ri,G
Ratnapriya,2,a,ya,R
Sanchit,1,t,it,S
Talank,1,k,nk,T
Parama,2,a,ma,P
Isaivalan,1,n,an,I
Chalama,2,a,ma,C
Ranjan,1,n,an,R
Kuyil,2,l,il,K
Eeshwar,1,r,ar,E
Padmalaya,2,a,ya,P
Madhulekha,2,a,ha,M
Kaushal,1,l,al,K
Ibrahim,1,m,im,I
Kusumavati,2,i,ti,K
Aasha,2,a,ha,A
Subrata,2,a,ta,S
Rachita,2,a,ta,R
Rebha,2,a,ha,R
Chandrashekar,1,r,ar,C
Kanu,1,u,nu,K
Satrijit,1,t,it,S
Loukya,2,a,ya,L
Suryansh,1,h,sh,S
Balasandhya,2,a,ya,B
Mahish,1,h,sh,M
Kulik,1,k,ik,K
Sudha,2,a,ha,S
Yashodhan,1,n,an,Y
Vasudha,2,a,ha,V
Rathik,1,k,ik,R
Ladhi,2,i,hi,L
Shreela,2,a,la,S
Preyasi,2,i,si,P
Deenabandhu,1,u,hu,D
Bahurai,1,i,ai,B
Arjun,1,n,un,A
Chanyana,1,a,na,C
Balagovind,1,d,nd,B
Renu,2,u,nu,R
Raima,2,a,ma,R
Supriya,1,a,ya,S
Yashawanthi,2,i,hi,Y
Navin,1,n,in,N
Himnish,1,h,sh,H
Sarvari,2,i,ri,S
Bodhan,1,n,an,B
SendhilNathan,1,n,an,S
Deepankar,1,r,ar,D
Ilavalagan,1,n,an,I
Poornachandra,1,a,ra,P
Kavya,2,a,ya,K
Varij,1,j,ij,V
Shriya,2,a,ya,S
Sarup,1,p,up,S
Kulbhushan,1,n,an,K
Roma,2,a,ma,R
Aashiyana,2,a,na,A
Poornima,2,a,ma,P
Rutva,2,a,va,R
Sabarinathan,1,n,an,S
Rithika,2,a,ka,R
Farhat,1,t,at,F
Kamalakar,1,r,ar,K
Rehan,1,n,an,R
Trivikram,1,m,am,T
Gafur,1,r,ur,G
Bhavamanyu,1,u,yu,B
Indraneel,1,l,el,I
Mrinalika,2,a,ka,M
Nadira,2,a,ra,N
Parin,1,n,in,P
Gargi,2,i,gi,G
Satyakam,1,m,am,S
Resham,2,m,am,R
Akalka,2,a,ka,A
Rahman,1,n,an,R
Vinita,2,a,ta,V
Shilavati,2,i,ti,S
Shuchita,2,a,ta,S
Kaberi,2,i,ri,K
Jyotichandra,1,a,ra,J
Tuvijat,1,t,at,T
Thangamani,1,i,ni,T
Chirantan,1,n,an,C
Firoza,2,a,za,F
Ojayit,1,t,it,O
"Anurag, Anuraag",1,g,ag,A
Sahasra,2,a,ra,S
Shinjini,2,i,ni,S
Dadhija,2,a,ja,D
Kuntala,2,a,la,K
Karnik,1,k,ik,K
Navaneet; Navnit,1,t,it,N
"Shravana, Shrabana",2,a,na,S
Harnoor,2,r,or,H
Tusharsuvra,1,a,ra,T
Dhavalachandra,1,a,ra,D
Sahiba,2,a,ba,S
Jyotiranjan,1,n,an,J
Nita,2,a,ta,N
Rashmi,2,i,mi,R
Mena,2,a,na,M
Samir,1,r,ir,S
Ripudaman,1,n,an,R
Aboil,2,l,il,A
Vindhya,2,a,ya,V
"Apurva, Apoorva",2,a,va,A
Chitrangada,2,a,da,C
Murarilal,1,l,al,M
Chandramohan,1,n,an,C
Inakanta,1,a,ta,I
Himanshu,1,u,hu,H
Iksura,2,a,ra,I
Ivy,2,y,vy,I
Nilaruna,2,a,na,N
Naganandini,2,i,ni,N
Parveeni,2,i,ni,P
Nitha,2,a,ha,N
Dindayal,1,l,al,D
Lakshana,2,a,na,L
Abhirath,1,h,th,A
Gurvinder,1,r,er,G
Venimadhav,1,v,av,V
Pachaimuthu,1,u,hu,P
Kirit,1,t,it,K
Kalanidhi,2,i,hi,K
Alhad,1,d,ad,A
Nabhanya,2,a,ya,N
Adikavi,1,i,vi,A
Murad,1,d,ad,M
